Platform,Total_Upgrade,Upgrade_To,Month
Jotstar,181,VIP,Jan
Jotstar,143,VIP,Feb
Jotstar,138,VIP,Mar
Jotstar,129,VIP,Apr
Jotstar,125,VIP,May
Jotstar,108,VIP,Jun
Jotstar,107,VIP,Jul
Jotstar,93,Premium,Jan
Jotstar,93,VIP,Aug
Jotstar,85,Premium,Feb
Jotstar,79,VIP,Sep
Jotstar,76,Premium,Apr
Jotstar,70,Premium,Mar
Jotstar,62,Premium,Jun
Jotstar,62,VIP,Oct
Jotstar,60,Premium,May
Jotstar,56,Premium,Jul
Jotstar,53,Premium,Aug
Jotstar,48,Premium,Sep
Jotstar,47,VIP,Nov
Jotstar,45,Premium,Oct
Jotstar,35,Premium,Nov
LioCinema,120,Premium,Jul
LioCinema,81,Premium,Oct
LioCinema,68,Premium,Apr
LioCinema,66,Premium,Aug
LioCinema,66,Premium,Nov
LioCinema,64,Premium,Jun
LioCinema,64,Premium,Sep
LioCinema,55,Premium,May
LioCinema,46,Premium,Feb
LioCinema,45,Premium,Mar
LioCinema,40,Premium,Jan
